id,description
"BCC","Beijing Climate Center, China Meteorological Administration"
"CCCMA","Canadian Centre for Climate Modelling and Analysis"
"CMCC","Centro Euro-Mediterraneo per I Cambiamenti Climatici"
"CNRM-CERFACS","Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)"
"CSIRO-BOM","CSIRO/Bureau of Meteorology"
"CSIRO-QCCCE","Commonwealth Scientific and Industrial Research Organization/Queensland Climate Change Centre of Excellence (CSIRO-QCCCE)"
"EC-EARTH","EC-EARTH, EC-Earth consortium"
"FIO","The First Institute of Oceanography, SOA, China"
"GCESS","College of Global Change and Earth System Science, Beijing Normal University"
"INM","Institute for Numerical Mathematics"
"IPSL","Institut Pierre-Simon Laplace"
"LASG-IAP","LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences"
"MIROC","Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology"
"MOHC","Met Office Hadley Centre"
"MPI-M","Max Planck Institute for Meteorology"
"MRI","Meteorological Research Institute"
"NASA-GISS","NASA Goddard Institute for Space Studies"
"NASA-GMAO","NASA Global Modeling and Assimilation Office"
"NCAR","National Center for Atmospheric Research"
"NCC","Norwegian Climate Centre (NorClim)"
"NCEP",
"NMR-KMA","National Institute of Meteorological Research/Korea Meteorological Administration"
"NOAA-GFDL","NOAA Geophysical Fluid Dynamics Laboratory"
"RSMAS","University of Miami - RSMAS"
