,activity_id,additional_allowed_model_components,description,end_year,experiment,experiment_id,min_number_yrs_per_sim,parent_activity_id,parent_experiment_id,required_model_components,start_year,sub_experiment_id,tier
0,['CMIP'],"['AER', 'CHEM', 'BGC']",DECK: 1pctCO2,,1 percent per year increase in CO2,1pctCO2,150,['CMIP'],['piControl'],['AOGCM'],,['none'],1
1,['ISMIP6'],"['AER', 'CHEM', 'BGC']",branched from 1pctCO2 run at year 140 and run with CO2 fixed at 4x pre-industrial concentration,,extension from year 140 of 1pctCO2 with 4xCO2,1pctCO2-4xext,210,['CMIP'],['1pctCO2'],['AOGCM'],,['none'],1
2,['C4MIP'],"['AER', 'CHEM']",Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment,1pctCO2-bgc,150,['CMIP'],['piControl'],"['AOGCM', 'BGC']",,['none'],1
3,['CDRMIP'],"['AER', 'CHEM']",1 percent per year decrease in CO2 (immediately after reaching 4xCO2 in the 1pctCO2 simulation); then held constant at pre-industrial level (part of the CDR-reversibility experiment),,1 percent per year decrease in CO2 from 4xCO2,1pctCO2-cdr,200,['CMIP'],['1pctCO2'],"['AOGCM', 'BGC']",,['none'],1
4,['C4MIP'],"['AER', 'CHEM']",Radiatively-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,,radiatively-coupled version of 1 percent per year increasing CO2 experiment,1pctCO2-rad,150,['CMIP'],['piControl'],"['AOGCM', 'BGC']",,['none'],2
5,['C4MIP'],"['AER', 'CHEM']","Fully-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",,1 percent per year increasing CO2 experiment with increasing N-deposition,1pctCO2Ndep,150,['CMIP'],['piControl'],"['AOGCM', 'BGC']",,['none'],2
6,['C4MIP'],"['AER', 'CHEM']","Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition,1pctCO2Ndep-bgc,150,['CMIP'],['piControl'],"['AOGCM', 'BGC']",,['none'],2
7,['ISMIP6'],"['AER', 'CHEM', 'BGC']",Idealized 1%/yr CO2 increase to 4xC02 over 140yrs and kept constant at 4xCO2 for an additional 200 to 400 yrs simulation that includes interactive ice sheets,,simulation with interactive ice sheet forced by 1 percent per year increase in CO2 to 4xCO2 (subsequently held fixed),1pctCO2to4x-withism,350,['ISMIP6'],['piControl-withism'],"['AOGCM', 'ISM']",,['none'],1
8,['GeoMIP'],"['AER', 'CHEM', 'BGC']","Beginning from a preindustrial control run, simultaneously quadruple the CO2 concentration and reduce the solar constant such that the TOA radiative flux remains within +/m0.1 W/m2",,abrupt quadrupling of CO2 plus reduction in total solar irradiance,G1,100,['CMIP'],['piControl'],['AOGCM'],,['none'],1
9,['GeoMIP'],"['AER', 'CHEM']",Time slice at 2020 (ScenarioMIP Tier 1 high forcing scenario),,"SSTs, forcings, and other prescribed conditions from year 2020 of SSP5-8.5",G6SST1,10,['ScenarioMIP'],['ssp585'],['AGCM'],,['none'],2
10,['GeoMIP'],"['AER', 'CHEM']",Time slice at 2100 (G6solar),,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6solar,G6SST2-solar,10,['GeoMIP'],['G6solar'],['AGCM'],,['none'],2
