,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
0,['RFMIP'],['Published'],['IPSL'],4AOP-v1-5,"Line-By-Line Radiative Transfer Model v1.5, Laboratoire Meteorologie Dynamique, GEISA spectroscopic database",2019,4AOP-v1-5,@listes.ipsl.fr <- ipsl-cmip6,2020-06-11: initially published under CC BY-NC-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
1,"['CMIP', 'DAMIP', 'FAFMIP', 'OMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['CSIRO-ARCCSS'],ACCESS-CM2,Australian Community Climate and Earth System Simulator Climate Model Version 2,2019,ACCESS-CM2,@csiro.au <- access_csiro,2019-11-08: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,none,none,CABLE2.5,250 km,none,none,"ACCESS-OM2 (GFDL-MOM5, tripolar primarily 1deg; 360 x 300 longitude/latitude; 50 levels; top grid cell 0-10 m)",100 km,none,none,CICE5.1.2 (same grid as ocean),100 km,
2,"['C4MIP', 'CDRMIP', 'CMIP', 'DAMIP', 'LUMIP', 'OMIP', 'PMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['CSIRO'],ACCESS-ESM1.5,Australian Community Climate and Earth System Simulator Earth System Model Version 1.5,2019,ACCESS-ESM1-5,@csiro.au <- access_csiro,2019-11-12: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,CLASSIC (v1.0),250 km,"HadGAM2 (r1.1, N96; 192 x 145 longitude/latitude; 38 levels; top level 39255 m)",250 km,none,none,CABLE2.4,250 km,none,none,"ACCESS-OM2 (MOM5, tripolar primarily 1deg; 360 x 300 longitude/latitude; 50 levels; top grid cell 0-10 m)",100 km,WOMBAT (same grid as ocean),100 km,CICE4.1 (same grid as ocean),100 km,
3,['OMIP'],['Published'],['CSIRO-COSIMA'],ACCESS-OM2,Australian Community Climate and Earth System Simulator Ocean Model Version 2,2020,ACCESS-OM2,@csiro.au <- access_csiro,2021-06-16: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,"ACCESS-OM2 (MOM5, tripolar primarily 1deg; 360 x 300 longitude/latitude; 50 levels; top grid cell 0-2.3 m)",100 km,WOMBAT (same grid as ocean),100 km,CICE5.1.2 (same grid as ocean),100 km,
4,['OMIP'],['Published'],['CSIRO-COSIMA'],ACCESS-OM2-025,Australian Community Climate and Earth System Simulator Ocean Model Version 2 quarter degree,2020,ACCESS-OM2-025,@csiro.au <- access_csiro,2021-06-17: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,"ACCESS-OM2 (MOM5, tripolar primarily 1/4 deg; 1440 x 1080 longitude/latitude; 50 levels; top grid cell 0-2.3 m)",25 km,WOMBAT (same grid as ocean),25 km,CICE5.1.2 (same grid as ocean),25 km,
5,['RFMIP'],['Published'],['UHH'],ARTS 2.3,ARTS 2.3 (Current development version of the Atmospheric Radiative Transfer Simulator),2015,ARTS-2-3,@uni-hamburg.de <- oliver.lemke,2019-06-20: initially published under CC BY-NC-SA 4.0; 2022-07-31: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
6,"['CMIP', 'CORDEX', 'HighResMIP', 'OMIP', 'SIMIP', 'VIACSAB']",['Published'],['AWI'],AWI-CM 1.1 HR,AWI-CM 1.1 HR,2018,AWI-CM-1-1-HR,@awi.de <- mip-contact,2017-08-25: initially published under CC BY-SA 4.0; 2022-06-22: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T127L95 native atmosphere T127 gaussian grid; 384 x 192 longitude/latitude; 95 levels; top level 80 km),100 km,none,none,JSBACH 3.20,100 km,none,none,FESOM 1.4 (unstructured grid in the horizontal with 1306775 wet nodes; 46 levels; top grid cell 0-5 m),25 km,none,none,FESOM 1.4,25 km,
7,"['CMIP', 'CORDEX', 'HighResMIP', 'OMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB']",['Published'],['AWI'],AWI-CM 1.1 LR,AWI-CM 1.1 LR,2018,AWI-CM-1-1-LR,@awi.de <- mip-contact,2017-08-25: initially published under CC BY-SA 4.0; 2022-06-22: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T63L47 native atmosphere T63 gaussian grid; 192 x 96 longitude/latitude; 47 levels; top level 80 km),250 km,none,none,JSBACH 3.20,250 km,none,none,FESOM 1.4 (unstructured grid in the horizontal with 126859 wet nodes; 46 levels; top grid cell 0-5 m),50 km,none,none,FESOM 1.4,50 km,
8,"['CMIP', 'CORDEX', 'OMIP', 'PAMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB']",['Published'],['AWI'],AWI-CM 1.1 MR,AWI-CM 1.1 MR,2018,AWI-CM-1-1-MR,@awi.de <- mip-contact,2018-12-18: initially published under CC BY-SA 4.0; 2022-06-22: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T127L95 native atmosphere T127 gaussian grid; 384 x 192 longitude/latitude; 95 levels; top level 80 km),100 km,none,none,JSBACH 3.20,100 km,none,none,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km,none,none,FESOM 1.4,25 km,
9,"['CMIP', 'PMIP']",['Published'],['AWI'],AWI-ESM 1.1 LR,AWI-ESM 1.1 LR,2018,AWI-ESM-1-1-LR,@awi.de <- mip-contact,2020-02-12: initially published under CC BY-SA 4.0; 2022-06-22: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T63L47 native atmosphere T63 gaussian grid; 192 x 96 longitude/latitude; 47 levels; top level 80 km),250 km,none,none,JSBACH 3.20 with dynamic vegetation,250 km,none,none,FESOM 1.4 (unstructured grid in the horizontal with 126859 wet nodes; 46 levels; top grid cell 0-5 m),50 km,none,none,FESOM 1.4,50 km,
10,"['C4MIP', 'CMIP', 'ScenarioMIP']",['Registered'],['AWI'],AWI-ESM 1 REcoM,AWI-ESM 1 REcoM,2024,AWI-ESM-1-REcoM,@awi.de <- mip-contact,2024-01-25: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T63L47 native atmosphere T63 gaussian grid; 192 x 96 longitude/latitude; 47 levels; top level 80 km),250 km,none,none,JSBACH 3.20 with dynamic vegetation,250 km,none,none,FESOM 1.4 (unstructured grid in the horizontal with 126859 wet nodes; 46 levels; top grid cell 0-5 m),50 km,REcoM2 (same grid as ocean component),50 km,FESOM 1.4 (same grid as ocean component),50 km,
11,"['CMIP', 'PMIP']",['Registered'],['AWI'],AWI-ESM 2.1 LR,AWI-ESM 2.1 LR,2019,AWI-ESM-2-1-LR,@awi.de <- mip-contact,,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM6.3.04p1 (T63L47 native atmosphere T63 gaussian grid; 192 x 96 longitude/latitude; 47 levels; top level 80 km),250 km,none,none,JSBACH 3.20 with dynamic vegetation,250 km,none,none,FESOM 2 (unstructured grid in the horizontal with 126858 wet nodes; 48 levels; top grid cell 0-5 m),50 km,none,none,FESOM 2,50 km,
12,"['CMIP', 'HighResMIP']",['Published'],['BCC'],BCC-CSM 2 HR,BCC-CSM 2 HR,2017,BCC-CSM2-HR,@cma.gov.cn <- twwu,2020-07-21: initially published under CC BY-SA 4.0; 2022-09-28 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,BCC_AGCM3_HR (T266; 800 x 400 longitude/latitude; 56 levels; top level 0.1 hPa),50 km,none,none,BCC_AVIM2,50 km,none,none,"MOM4 (1/3 deg 10S-10N, 1/3-1 deg 10-30 N/S, and 1 deg in high latitudes; 360 x 232 longitude/latitude; 40 levels; top grid cell 0-10 m)",50 km,none,none,SIS2,50 km,
13,"['C4MIP', 'CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'GMMIP', 'LS3MIP', 'LUMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['BCC'],BCC-CSM 2 MR,BCC-CSM 2 MR,2017,BCC-CSM2-MR,@cma.gov.cn <- twwu,2018-10-09: initially published under CC BY-SA 4.0; 2022-09-28 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,BCC_AGCM3_MR (T106; 320 x 160 longitude/latitude; 46 levels; top level 1.46 hPa),100 km,none,none,BCC_AVIM2,100 km,none,none,"MOM4 (1/3 deg 10S-10N, 1/3-1 deg 10-30 N/S, and 1 deg in high latitudes; 360 x 232 longitude/latitude; 40 levels; top grid cell 0-10 m)",50 km,none,none,SIS2,50 km,
14,"['AerChemMIP', 'CMIP']",['Published'],['BCC'],BCC-ESM 1,BCC-ESM 1,2017,BCC-ESM1,@cma.gov.cn <- twwu,2018-11-14: initially published under CC BY-SA 4.0; 2022-09-28 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,BCC_AGCM3_LR (T42; 128 x 64 longitude/latitude; 26 levels; top level 2.19 hPa),250 km,BCC-AGCM3-Chem,250 km,BCC_AVIM2,250 km,none,none,"MOM4 (1/3 deg 10S-10N, 1/3-1 deg 10-30 N/S, and 1 deg in high latitudes; 360 x 232 longitude/latitude; 40 levels; top grid cell 0-10 m)",50 km,none,none,SIS2,50 km,
15,['HighResMIP'],['Registered'],['PNNL-WACCEM'],CAM-MPAS-HR,CAM MPAS (Community Atmosphere Model - Model for Prediction Across Scales),2018,CAM-MPAS-HR,,,,,,,"none, prescribed MACv2-SP",none,"CAM-MPAS (CAMv5.4 with Grell-Freitas deep convection; MPASv4, C-grid staggered centroidal Voronoi tesselation atmosphere 30 km mesh with 655362 cells and 1966080 edges; 32 levels, top level 40363 m)",25 km,none,none,"CLM (v4.0, same grid as atmos), River Transport Model (v1.0)",25 km,none,none,none,none,none,none,none,none,
